,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
btt1_med4,8718.0,9526.0,10352.0,6788.0,8625.0,2669.0,8941.0,7472.0,9437.0,7273.0,8957.0,6289.0
btt1_dpd4,8715.0,13168.0,15980.0,13901.0,15583.0,5895.0,27888.0,24807.0,29951.0,23663.0,26182.0,14586.0
vp16_nhp6a,8496.0,9242.0,9301.0,6585.0,9354.0,7207.0,8663.0,7578.0,9503.0,8965.0,9338.0,8928.0
snf11_snf11,7949.0,11458.0,11209.0,8906.0,10044.0,4139.0,17863.0,14194.0,13829.0,11047.0,11440.0,4193.0
tdh3_lge1,7883.0,8229.0,9234.0,6073.0,9334.0,5129.0,15505.0,14764.0,24935.0,30754.0,49868.0,119781.0
vp16_hat2,7707.0,9196.0,13908.0,14948.0,40404.0,130730.0,5620.0,5434.0,6076.0,6116.0,8413.0,3078.0
srb7_vp16,7654.0,8792.0,9584.0,7217.0,10042.0,4043.0,13214.0,16402.0,20815.0,19409.0,27004.0,68288.0
btt1_vp16,7621.0,8683.0,9100.0,6566.0,8995.0,4002.0,15887.0,18189.0,31721.0,26537.0,30357.0,21330.0
dpd4_vp16,7590.0,8068.0,6951.0,4755.0,6993.0,3433.0,5089.0,5044.0,6043.0,5306.0,6044.0,4261.0
sir2_dpd4,7412.0,13468.0,12802.0,10567.0,12727.0,4713.0,15126.0,14737.0,20742.0,16728.0,16752.0,3265.0
mig1_lge1,7305.0,14066.0,16819.0,10164.0,11602.0,519.0,887.0,731.0,989.0,1130.0,1062.0,614.0
rtt102_snf11,7004.0,9572.0,8154.0,6924.0,7008.0,2981.0,11163.0,9288.0,10419.0,8127.0,9545.0,4547.0
snf11_srb7,6728.0,9634.0,9139.0,6496.0,8366.0,3256.0,12693.0,11643.0,19785.0,18648.0,25717.0,73073.0
tdh3_med4,6672.0,8664.0,9163.0,6280.0,9517.0,5461.0,12224.0,9667.0,12511.0,11990.0,13153.0,8982.0
btt1_snf11,6612.0,9682.0,8952.0,6726.0,8356.0,2909.0,12715.0,11368.0,9787.0,8898.0,10636.0,3525.0
eaf5_hat2,6541.0,2524.0,1837.0,1544.0,424.0,209.0,508.0,256.0,307.0,356.0,319.0,179.0
vp16_lge1,6406.0,7091.0,7595.0,5558.0,7139.0,1196.0,7676.0,5884.0,5903.0,5753.0,6483.0,1429.0
nhp10_snf11,6329.0,2273.0,2482.0,1735.0,1920.0,1242.0,1948.0,1939.0,2617.0,2213.0,2325.0,533.0
rtt102_srb7,6287.0,8404.0,7885.0,5861.0,8533.0,2841.0,5414.0,5424.0,7381.0,5340.0,7440.0,3915.0
